epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1391.5,0.36157,0.30323,0.85961,0.99619,0.99565,0.99496,0.96562,0.27408,0.17281,0.79991,0.000990365,0.000990365,0.000990365
43,1424.01,0.35786,0.30099,0.85807,0.99962,0.99627,0.995,0.96574,0.27964,0.17089,0.80258,0.000973861,0.000973861,0.000973861
44,1456.53,0.35933,0.3051,0.85909,0.99771,0.99247,0.99498,0.96929,0.26997,0.17271,0.79923,0.000957358,0.000957358,0.000957358
45,1489.14,0.35546,0.30088,0.85641,0.99753,0.99398,0.99496,0.96824,0.28268,0.17303,0.80305,0.000940855,0.000940855,0.000940855
46,1521.67,0.34947,0.29392,0.85755,0.99605,0.99474,0.995,0.9689,0.27581,0.16824,0.79947,0.000924352,0.000924352,0.000924352
47,1553.98,0.3496,0.29394,0.85501,0.99976,0.99253,0.99499,0.9694,0.2722,0.16901,0.80152,0.000907848,0.000907848,0.000907848
48,1586.66,0.34761,0.29116,0.85527,0.99447,0.9972,0.995,0.96849,0.27129,0.16735,0.79896,0.000891345,0.000891345,0.000891345
49,1618.99,0.34979,0.29312,0.85609,0.99763,0.99723,0.995,0.96728,0.27464,0.16409,0.79877,0.000874842,0.000874842,0.000874842
50,1651.51,0.3476,0.29101,0.85588,0.99937,0.99387,0.99498,0.96676,0.27456,0.16703,0.80103,0.000858338,0.000858338,0.000858338
51,1684.95,0.34427,0.28642,0.85504,0.99715,0.99743,0.99498,0.9676,0.26722,0.16488,0.79876,0.000841835,0.000841835,0.000841835
52,1717.45,0.34578,0.28324,0.85475,0.99954,0.9972,0.995,0.9675,0.27186,0.16229,0.80108,0.000825332,0.000825332,0.000825332
53,1750.26,0.34285,0.28228,0.85444,0.99813,0.99315,0.99497,0.96855,0.27217,0.16688,0.80116,0.000808828,0.000808828,0.000808828
54,1782.63,0.34025,0.28031,0.85095,0.99719,0.9933,0.99498,0.97083,0.26737,0.16432,0.79761,0.000792325,0.000792325,0.000792325
55,1815.18,0.34183,0.28203,0.8534,0.99886,0.99199,0.99498,0.96828,0.26694,0.16449,0.79909,0.000775822,0.000775822,0.000775822
56,1847.44,0.34149,0.28113,0.85524,0.99694,0.99557,0.99499,0.96986,0.26944,0.15949,0.79903,0.000759318,0.000759318,0.000759318
57,1879.92,0.33287,0.27657,0.85087,0.99706,0.99434,0.99497,0.9705,0.26846,0.15798,0.79721,0.000742815,0.000742815,0.000742815
58,1912.32,0.33468,0.27784,0.8504,0.99827,0.99124,0.99428,0.96913,0.26791,0.16008,0.79603,0.000726312,0.000726312,0.000726312
59,1945.02,0.33623,0.27699,0.85201,0.99591,0.99885,0.99498,0.97189,0.2656,0.15556,0.79634,0.000709809,0.000709809,0.000709809
60,1977.36,0.33282,0.27309,0.85141,0.9998,0.99292,0.99498,0.97188,0.26846,0.15644,0.79563,0.000693305,0.000693305,0.000693305
61,2009.86,0.32911,0.2672,0.84953,0.99875,0.99347,0.99497,0.96978,0.26675,0.15822,0.79759,0.000676802,0.000676802,0.000676802
62,2042.15,0.32959,0.26751,0.85029,0.99674,0.99406,0.99498,0.97099,0.26629,0.15976,0.79895,0.000660299,0.000660299,0.000660299
63,2074.81,0.32935,0.26932,0.84999,0.99798,0.99416,0.99497,0.97014,0.26853,0.16041,0.79759,0.000643795,0.000643795,0.000643795
64,2107.29,0.3288,0.26879,0.84935,0.99649,0.99783,0.99499,0.97163,0.26683,0.15272,0.79786,0.000627292,0.000627292,0.000627292
65,2139.75,0.32243,0.25786,0.84587,0.99829,0.99852,0.99499,0.97269,0.26441,0.15183,0.79751,0.000610789,0.000610789,0.000610789
66,2172.16,0.32212,0.26002,0.8474,0.99811,0.99928,0.99499,0.9712,0.26271,0.14879,0.79672,0.000594286,0.000594286,0.000594286
67,2204.64,0.32108,0.26004,0.84816,0.99892,0.997,0.99499,0.97042,0.26498,0.14829,0.79726,0.000577782,0.000577782,0.000577782
68,2237.08,0.32173,0.25686,0.84665,0.99633,0.99865,0.99499,0.97085,0.26476,0.14929,0.79614,0.000561279,0.000561279,0.000561279
69,2269.91,0.31994,0.25316,0.84602,0.99874,0.99652,0.99499,0.97129,0.26257,0.14753,0.7954,0.000544776,0.000544776,0.000544776
70,2303.25,0.32238,0.25771,0.84973,0.99868,0.99623,0.995,0.96873,0.26753,0.14877,0.79817,0.000528272,0.000528272,0.000528272
71,2335.64,0.31643,0.25576,0.84516,0.99989,0.99303,0.99498,0.9703,0.26289,0.15083,0.79643,0.000511769,0.000511769,0.000511769
72,2367.97,0.31749,0.25476,0.84413,0.9999,0.99277,0.99498,0.9705,0.26417,0.14964,0.79597,0.000495266,0.000495266,0.000495266
73,2400.41,0.31259,0.24897,0.8438,0.9982,0.99671,0.995,0.96904,0.26437,0.14386,0.7961,0.000478762,0.000478762,0.000478762
74,2433.06,0.31485,0.25236,0.84518,0.9996,0.99436,0.99499,0.9706,0.26413,0.14417,0.7969,0.000462259,0.000462259,0.000462259
75,2465.49,0.31445,0.24853,0.84587,0.99681,0.99724,0.99498,0.97069,0.26098,0.14329,0.79607,0.000445756,0.000445756,0.000445756
76,2497.89,0.31242,0.24742,0.84321,0.9999,0.9944,0.99499,0.97029,0.25852,0.14321,0.79551,0.000429253,0.000429253,0.000429253
77,2530.49,0.30852,0.24542,0.84328,0.99772,0.99551,0.99499,0.97047,0.26155,0.14546,0.79669,0.000412749,0.000412749,0.000412749
78,2563.08,0.30947,0.24321,0.84293,0.99859,0.99768,0.995,0.97121,0.26105,0.14182,0.79659,0.000396246,0.000396246,0.000396246
79,2595.69,0.30988,0.24316,0.84369,0.99884,0.9944,0.99499,0.96972,0.26076,0.14272,0.79524,0.000379743,0.000379743,0.000379743
80,2628.13,0.30864,0.24267,0.8442,0.99767,0.99813,0.99499,0.97075,0.2605,0.14151,0.79235,0.000363239,0.000363239,0.000363239
81,2661.14,0.30372,0.23749,0.84113,0.99768,0.99833,0.99499,0.97096,0.26096,0.14009,0.79359,0.000346736,0.000346736,0.000346736
82,2693.67,0.30187,0.23572,0.83935,0.99772,0.99907,0.995,0.97042,0.25848,0.13687,0.7942,0.000330233,0.000330233,0.000330233
83,2726.32,0.30645,0.23638,0.84342,0.99883,0.99882,0.995,0.9704,0.25735,0.13691,0.79389,0.000313729,0.000313729,0.000313729
84,2758.77,0.3,0.23337,0.8411,0.99859,0.99607,0.995,0.97202,0.25703,0.13607,0.79308,0.000297226,0.000297226,0.000297226
85,2791.22,0.30262,0.23248,0.84086,0.99827,0.99534,0.995,0.97304,0.25519,0.13564,0.79292,0.000280723,0.000280723,0.000280723
86,2823.77,0.29933,0.23474,0.84172,0.9999,0.99347,0.99499,0.97246,0.25522,0.13873,0.79375,0.00026422,0.00026422,0.00026422
87,2856.22,0.2992,0.23231,0.84038,0.99982,0.99384,0.995,0.97258,0.25528,0.13618,0.79383,0.000247716,0.000247716,0.000247716
88,2888.78,0.29654,0.22657,0.83658,0.99874,0.9962,0.995,0.9723,0.25575,0.13451,0.79263,0.000231213,0.000231213,0.000231213
89,2922.31,0.29509,0.22891,0.83748,0.99879,0.99702,0.995,0.97208,0.25585,0.13405,0.79223,0.00021471,0.00021471,0.00021471
90,2954.7,0.2941,0.22539,0.83942,0.99877,0.99614,0.995,0.97327,0.25542,0.13458,0.79105,0.000198206,0.000198206,0.000198206
91,2987.47,0.21876,0.13673,0.78466,0.99812,0.9972,0.995,0.97353,0.25391,0.1344,0.79084,0.000181703,0.000181703,0.000181703
92,3019.5,0.21505,0.13471,0.7826,0.99769,0.99665,0.99499,0.97256,0.25304,0.13453,0.79195,0.0001652,0.0001652,0.0001652
93,3051.15,0.2119,0.13198,0.78006,0.99673,0.99877,0.995,0.97131,0.25381,0.13176,0.79167,0.000148696,0.000148696,0.000148696
94,3082.82,0.21403,0.13297,0.78168,0.99711,0.99772,0.995,0.97087,0.25365,0.13278,0.79214,0.000132193,0.000132193,0.000132193
95,3114.55,0.21061,0.1308,0.78256,0.99774,0.99702,0.99499,0.97067,0.253,0.13154,0.79179,0.00011569,0.00011569,0.00011569
96,3146.08,0.20914,0.12854,0.78058,0.99972,0.99349,0.995,0.97175,0.25271,0.13133,0.79058,9.91865e-05,9.91865e-05,9.91865e-05
97,3177.73,0.20713,0.12679,0.7834,0.99987,0.99347,0.99499,0.97227,0.25229,0.13222,0.79127,8.26832e-05,8.26832e-05,8.26832e-05
98,3209.43,0.20428,0.1252,0.78078,0.9998,0.99353,0.99499,0.9712,0.25229,0.1322,0.79105,6.61799e-05,6.61799e-05,6.61799e-05
99,3240.99,0.2062,0.12549,0.78105,0.99621,0.99737,0.99499,0.97176,0.25142,0.13114,0.79121,4.96766e-05,4.96766e-05,4.96766e-05
100,3272.63,0.20522,0.12402,0.78071,0.99617,0.99772,0.99499,0.97125,0.25136,0.13075,0.79163,3.31733e-05,3.31733e-05,3.31733e-05
